Away,Away Score,Home,Home Score
Baylor,20,TAMU-Corpus Christi,5
Louisiana Tech,4,UT-Dallas,15
UT-San Antonio,14,Trinity,10
Louisiana,8,Louisiana Tech,7
Louisiana,21,Stephen F. Austin,4
Kansas State,7,Arkansas,13
San Diego,16,Biola,1
Texas A&M,16,Texas State,11
Trinity,9,Baylor,13
TAMU-Galveston,9,Louisiana Tech,14
Abilene Christian,7,Oklahoma State,22
Incarnate Word,1,Texas Tech,17
North Florida,14,Florida,16
Abilene Christian,7,Tulsa,5
Stephen F. Austin,6,Louisiana Tech,19
Hardin-Simmons,1,Texas Tech,24
Arkansas,10,Missouri State,8
Marymount,2,Cal State Fullerton,22
Arkansas,1,Texas,13
UC Davis,1,California,21
Southeastern Louisiana,19,TAMU-Corpus Christi,3
Miami,3,Clemson,15
USC,16,Texas Christian,3
Trinity,0,Rice,0
Southeastern Louisiana,9,Trinity,24
Texas State,17,Texas Tech,7
Oklahoma State,20,Kansas State,10
Loyola Marymount,15,Biola,13
Missouri,3,Missouri State,6
North Florida,12,Charleston,10
Stanford,4,UC Santa Barbara,10
Marymount,1,Cal State San Marcos,22
Miami,10,Ole Miss,19
Claremont,13,UNLV,24
Alabama,9,Vanderbilt,6
UT-Dallas,24,Abilene Christian,1
Georgia Southern,7,Kennesaw State,21
NC State,5,Wake Forest,8
Tulane,8,Louisiana Tech,9
Incarnate Word,0,Baylor,21
Georgia,5,South Carolina,12
Tulsa,0,Dallas Baptist,0
Arkansas,6,Texas A&M,16
Florida,15,Florida Gulf Coast,12
St. Edward”s,15,North Texas,23
UT-Dallas,20,Hardin-Simmons,0
Washington,23,Portland State,5
St. Mary”s,13,Southern Oregon,6
UT-San Antonio,9,Texas Tech,13
USC,6,Southern Methodist,8
MSU-Mankato,1,Minnesota,21
Cal State Long Beach,6,UCLA,9
North Florida,17,Coastal Carolina,4
Loyola Marymount,21,Cal State Channel Islands,4
Davidson,6,Charleston,17
Texas A&M,14,Texas,11
Tarleton State,12,Abilene Christian,2
Central Washington,8,Southern Oregon,9
Ole Miss,3,Clemson,11
St. Mary”s,6,Portland,12
St. Mary”s,4,Portland State,11
Claremont,11,UC Irvine,9
NC State,7,Florida State,15
South Carolina,8,Southern Methodist,3
Georgia Tech,19,Vanderbilt,3
Texas,4,California,13
Central Florida,9,Auburn,8
Southern Illinois,0,Nebraska,0
Florida,11,Georgia,9
Oakland,12,Central Michigan,9
Chapman,17,UCLA,0
Creighton,6,Kansas State,8
Oklahoma State,20,Tulsa,3
Texas Tech,4,Southern Methodist,10
Nevada,2,Cal Poly,18
Iowa State,2,Ole Miss,5
Southern Illinois,1,Nebraska,16
Sonoma State,4,UC Santa Barbara,17
Cal State Channel Islands,3,Cal State Long Beach,25
Claremont,12,Biola,10
Chico State,5,California,15
Oregon,15,Santa Clara,9
Appalachian State,11,Tennessee,14
Montana,18,Seattle University,2
East Carolina,0,Elon,0
North Florida,24,Georgia Southern,13
Oklahoma,7,Georgia Tech,12
Wake Forest,0,Charleston,0
Iowa State,1,Arkansas,6
South Carolina,16,Texas State,3
College of Idaho,22,Gonzaga,10
Central Washington,11,Portland State,9
Michigan State,8,Minnesota,7
Tarleton State,20,Tulsa,2
UCLA,3,Concordia-Irvine,15
Kennesaw State,16,UNC-Charlotte,10
Florida,8,Clemson,17
Texas Christian,8,Texas A&M,15
USC,6,San Diego State,7
St. Edward”s,8,Texas A&M,13
Missouri State,6,UT-Dallas,4
UNLV,11,Brigham Young,19
Southern Illinois,4,Wyoming,21
Wyoming,14,Nebraska,6
NC State,15,North Florida,5
Texas,5,Stanford,10
Iowa State,7,Tulsa,0
Michigan State,9,Minn.-Duluth,8
Portland,4,Santa Clara,17
Tarleton State,13,Oklahoma State,15
Kennesaw State,22,Davidson,7
Miami,0,Florida State,0
Southern Illinois,6,Creighton,11
College of Idaho,29,Pacific Lutheran,3
Oklahoma,17,Vanderbilt,12
South Carolina,10,Texas Tech,3
South Florida,18,Florida Atlantic,13
Missouri State,10,Baylor,5
Ole Miss,13,Arkansas,7
Boise State,16,UNLV,11
Loyola Marymount,5,Cal State Fullerton,18
Kansas,9,Texas Christian,5
USC,11,San Diego,5
Georgia,11,Clemson,10
Humboldt State,7,San Jose State,12
UC Santa Cruz,15,St. Mary”s,3