Away,Home,Score Away,Score Home
Baylor,TAMU-Corpus Christi,20,5
Louisiana Tech,UT-Dallas,4,15
Montana,Mexican National Team,12,6
UT-San Antonio,Trinity,14,10
UC Irvine,Santa Barbara CC,0,0
Southeastern Louisiana,University of Memphis,5,10
Louisiana,Louisiana Tech,8,7
Louisiana,Stephen F. Austin,21,4
Kansas State,Arkansas,7,13
Southeastern Louisiana,Mississippi State University,5,7
San Diego,Biola,16,1
Texas A&M,Texas State,16,11
Trinity,Baylor,9,13
Ole Miss,Rhodes College,5,16
Citadel,Florida Atlantic,12,13
University of Memphis,Arkansas,0,0
TAMU-Galveston,Louisiana Tech,9,14
Abilene Christian,Oklahoma State,7,22
Incarnate Word,Texas Tech,1,17
North Florida,Florida,14,16
Abilene Christian,Tulsa,7,5
Stephen F. Austin,Louisiana Tech,6,19
UC Santa Cruz,Santa Clara,0,0
Hardin-Simmons,Texas Tech,1,24
Arkansas,Missouri State,10,8
Belmont Abbey College,Clemson,0,0
Sierra Nevada,Sonoma State,2,12
Marymount,Cal State Fullerton,2,22
Arkansas,Texas,1,13
Belmont Abbey College,UNC-Charlotte,0,0
UC Davis,California,1,21
Southeastern Louisiana,TAMU-Corpus Christi,19,3
Miami,Clemson,3,15
USC,Texas Christian,16,3
Trinity,Rice,0,0
Southeastern Louisiana,Trinity,9,24
Texas State,Texas Tech,17,7
Oklahoma State,Kansas State,20,10
Sierra Nevada,Dominican,0,0
Loyola Marymount,Biola,15,13
Southern Virginia University,Virginia Tech,0,0
Emory,Point University,0,0
UC Santa Cruz,Notre Dame de Namur University,6,21
Missouri,Missouri State,3,6
North Florida,Charleston,12,10
Stanford,UC Santa Barbara,4,10
Marymount,Cal State San Marcos,1,22
MSU Denver,Colorado State,0,0
Miami,Ole Miss,10,19
Claremont,UNLV,13,24
Away,Home,Score,
Alabama,Vanderbilt,9,6
UT-Dallas,Abilene Christian,24,1
Siena Heights,Grand Valley State,0,0
Georgia Southern,Kennesaw State,7,21
NC State,Wake Forest,5,8
Columbus State,Auburn,6,11
Tulane,Louisiana Tech,8,9
Incarnate Word,Baylor,0,21
Georgia,South Carolina,5,12
Tulsa,Dallas Baptist,0,0
Citadel,Coastal Carolina,0,0
Arkansas,Texas A&M,6,16
Florida,Florida Gulf Coast,15,12
St. Edward's,North Texas,15,23
UT-Dallas,Hardin-Simmons,20,0
Western Washington,Seattle University,14,4
Washington,Portland State,23,6
St. Mary's,Southern Oregon,13,6
UT-San Antonio,Texas Tech,9,13
USC,Southern Methodist,6,8
MSU-Mankato,Minnesota,1,21
Cal State Long Beach,UCLA,6,9
Michigan Tech,Oakland,3,20
North Florida,Coastal Carolina,17,4
Loyola Marymount,Cal State Channel Islands,21,4
Davidson,Charleston,6,17
Texas A&M,Texas,14,11
Tarleton State,Abilene Christian,0,0
Central Washington,Southern Oregon,8,9
Ole Miss,Clemson,3,11
Dalton State College,Emory,0,0
St. Mary's,Portland,6,12